DATE,CHF3MTD156N
2018-01-02,-0.7442
2018-01-03,-0.7376
2018-01-04,-0.7356
2018-01-05,-0.7356
2018-01-08,-0.7356
2018-01-09,-0.7356
2018-01-10,-0.7356
2018-01-11,-0.7356
2018-01-12,-0.7356
2018-01-15,-0.7376
2018-01-16,-0.7376
2018-01-17,-0.739
2018-01-18,-0.742
2018-01-19,-0.742
2018-01-22,-0.742
2018-01-23,-0.742
2018-01-24,-0.742
2018-01-25,-0.742
2018-01-26,-0.742
2018-01-29,-0.743
2018-01-30,-0.745
2018-01-31,-0.745
2018-02-01,-0.7474
2018-02-02,-0.7474
2018-02-05,-0.7474
2018-02-06,-0.7474
2018-02-07,-0.7454
2018-02-08,-0.7434
2018-02-09,-0.7434
2018-02-12,-0.7454
2018-02-13,-0.7456
2018-02-14,-0.7456
2018-02-15,-0.7456
2018-02-16,-0.7456
2018-02-19,-0.7456
2018-02-20,-0.7456
2018-02-21,-0.7456
2018-02-22,-0.7446
2018-02-23,-0.7446
2018-02-26,-0.7446
2018-02-27,-0.7446
2018-02-28,-0.7446
2018-03-01,-0.7446
2018-03-02,-0.7446
2018-03-05,-0.7426
2018-03-06,-0.7426
2018-03-07,-0.7426
2018-03-08,-0.742
2018-03-09,-0.742
2018-03-12,-0.742
2018-03-13,-0.742
2018-03-14,-0.742
2018-03-15,-0.742
2018-03-16,-0.74
2018-03-19,-0.74
2018-03-20,-0.7374
2018-03-21,-0.7374
2018-03-22,-0.7362
2018-03-23,-0.7362
2018-03-26,-0.7342
2018-03-27,-0.7342
2018-03-28,-0.7362
2018-03-29,-0.7354
2018-03-30,.
2018-04-02,.
2018-04-03,-0.736
2018-04-04,-0.735
2018-04-05,-0.735
2018-04-06,-0.735
2018-04-09,-0.735
2018-04-10,-0.7352
2018-04-11,-0.7352
2018-04-12,-0.7352
2018-04-13,-0.7352
2018-04-16,-0.7352
2018-04-17,-0.7332
2018-04-18,-0.7322
2018-04-19,-0.7312
2018-04-20,-0.7312
2018-04-23,-0.7312
2018-04-24,-0.7292
2018-04-25,-0.7292
2018-04-26,-0.7292
2018-04-27,-0.7282
2018-04-30,-0.7282
2018-05-01,-0.7282
2018-05-02,-0.7266
2018-05-03,-0.7226
2018-05-04,-0.7226
2018-05-07,.
2018-05-08,-0.7216
2018-05-09,-0.7196
2018-05-10,-0.7196
2018-05-11,-0.7196
2018-05-14,-0.7156
2018-05-15,-0.7156
2018-05-16,-0.7266
2018-05-17,-0.7256
2018-05-18,-0.7236
2018-05-21,-0.7256
2018-05-22,-0.728
2018-05-23,-0.729
2018-05-24,-0.7316
2018-05-25,-0.7336
2018-05-28,.
2018-05-29,-0.7358
2018-05-30,-0.7368
2018-05-31,-0.7348
2018-06-01,-0.7348
2018-06-04,-0.7328
2018-06-05,-0.7328
2018-06-06,-0.7328
2018-06-07,-0.7328
2018-06-08,-0.7338
2018-06-11,-0.7332
2018-06-12,-0.7312
2018-06-13,-0.7312
2018-06-14,-0.7312
2018-06-15,-0.7312
2018-06-18,-0.7312
2018-06-19,-0.7332
2018-06-20,-0.7318
2018-06-21,-0.731
2018-06-22,-0.731
2018-06-25,-0.7312
2018-06-26,-0.7312
2018-06-27,-0.7312
2018-06-28,-0.7316
2018-06-29,-0.7316
2018-07-02,-0.7316
2018-07-03,-0.7276
2018-07-04,-0.7286
2018-07-05,-0.7266
2018-07-06,-0.7302
2018-07-09,-0.7306
2018-07-10,-0.7306
2018-07-11,-0.7246
2018-07-12,-0.7206
2018-07-13,-0.7172
