data,kurs średni,kurs sprzedaży
2018-01-02,3.5567,3.6076
2018-01-03,3.5592,3.5896
2018-01-04,3.5308,3.5786
2018-01-05,3.5298,3.5641
2018-01-08,3.5502,3.5673
2018-01-09,3.5622,3.6012
2018-01-10,3.5623,3.603
2018-01-11,3.5683,3.6071
2018-01-12,3.5365,3.5942
2018-01-15,3.5334,3.5665
2018-01-16,3.5428,3.5743
2018-01-17,3.5398,3.5752
2018-01-18,3.5471,3.5855
2018-01-19,3.5576,3.5767
2018-01-22,3.5472,3.5817
2018-01-23,3.5396,3.5781
2018-01-24,3.546,3.5756
2018-01-25,3.547,3.5817
2018-01-26,3.5644,3.5834
